Side,Sub_ID,Ultimate_Clearing_Firm,Entering_Firm_Col1,EXCH,TRANS_TYPE,RPT_TYP,TRD_SUB_TYPE,PREVLY_RPTD,Total_Quantity
1,C,,00005,BATO,0,2,,N,14484
1,C,,00005,BATO,0,2,0,N,436
1,C,,00005,C2OX,0,2,,N,5170
1,C,,00005,C2OX,0,2,0,N,132
1,C,,00005,EDGO,0,2,,N,6427
1,C,,00005,EDGO,0,2,0,N,367
1,C,,00005,GMNI,0,2,,N,4527
1,C,,00005,GMNI,0,2,0,N,102
1,C,,00005,MPRL,0,2,,N,18994
1,C,,00005,MPRL,0,2,0,N,5542
1,C,,00005,MXOP,0,2,,N,1987
1,C,,00005,XASE,0,2,,N,12783
1,C,,00005,XASE,0,2,0,N,248
1,C,,00005,XASE,0,8,,N,1000
1,C,,00005,XASE,1,2,,N,4000
1,C,,00005,XASE,1,8,,N,1000
1,C,,00005,XBOX,0,2,,N,11969
1,C,,00005,XBOX,0,2,0,N,928
1,C,,00005,XBOX,0,9,,N,1000
1,C,,00005,XBOX,1,2,,N,1500
1,C,,00005,XBOX,1,2,0,N,500
1,C,,00005,XBOX,1,9,,N,1000
1,C,,00005,XBXO,0,2,,N,3738
1,C,,00005,XBXO,0,2,0,N,249
1,C,,00005,XCBO,0,2,,N,53690
1,C,,00005,XCBO,0,2,0,N,4722
1,C,,00005,XCBO,1,2,,N,282
1,C,,00005,XISX,0,2,,N,10580
1,C,,00005,XISX,0,2,0,N,570
1,C,,00005,XMIO,0,2,,N,3019
1,C,,00005,XMIO,0,2,0,N,397
1,C,,00005,XNDQ,0,2,,N,15739
1,C,,00005,XNDQ,0,2,0,N,333
1,C,,00005,XPHO,0,2,,N,25748
1,C,,00005,XPHO,0,2,0,N,498
1,C,,00005,XPHO,1,2,,N,10120
1,C,,00005,XPSE,0,2,,N,26376
1,C,,00005,XPSE,0,2,0,N,2601
1,C,,00007,XCBO,0,2,,N,250
1,C,,00007,XCBO,1,2,,N,250
1,C,,00010,BATO,0,2,,N,1078
1,C,,00010,BATO,0,2,0,N,223
1,C,,00010,BATO,0,8,,N,3
1,C,,00010,C2OX,0,2,,N,1665
1,C,,00010,C2OX,0,2,0,N,32
1,C,,00010,EDGO,0,2,,N,1763
1,C,,00010,EMLD,0,2,,N,1
1,C,,00010,EMLD,0,2,0,N,1
1,C,,00010,GMNI,0,2,,N,2142
1,C,,00010,GMNI,0,2,0,N,10
1,C,,00010,MCRY,0,2,,N,22
1,C,,00010,MPRL,0,2,,N,2725
1,C,,00010,MPRL,0,2,0,N,65
1,C,,00010,MXOP,0,2,,N,54
1,C,,00010,XASE,0,2,,N,14025
1,C,,00010,XASE,0,8,,N,2179
1,C,,00010,XASE,1,2,,N,9034
1,C,,00010,XASE,1,8,,N,2179
1,C,,00010,XBOX,0,2,,N,4319
1,C,,00010,XBOX,1,2,,N,2500
1,C,,00010,XBXO,0,2,,N,325
1,C,,00010,XCBO,0,2,,N,41985
1,C,,00010,XCBO,0,2,0,N,1002
1,C,,00010,XCBO,0,8,,N,5012
1,C,,00010,XCBO,1,2,,N,20915
1,C,,00010,XCBO,1,8,,N,5012
1,C,,00010,XISX,0,2,,N,13421
1,C,,00010,XISX,0,2,0,N,118
1,C,,00010,XISX,1,2,,N,3500
1,C,,00010,XMIO,0,2,,N,494
1,C,,00010,XNDQ,0,2,,N,751
1,C,,00010,XNDQ,0,2,0,N,5
1,C,,00010,XPHO,0,2,,N,7848
1,C,,00010,XPHO,0,2,0,N,61
1,C,,00010,XPHO,1,2,,N,2430
1,C,,00010,XPSE,0,2,,N,25233
1,C,,00010,XPSE,0,2,0,N,1686
1,C,,00015,XASE,0,2,,N,2160
1,C,,00015,XASE,1,2,,N,1360
1,C,,00017,XBOX,0,2,,N,1160
1,C,,00017,XBOX,0,2,0,N,1151
1,C,,00019,BATO,0,2,,N,159
1,C,,00019,BATO,0,2,0,N,5
1,C,,00019,C2OX,0,2,,N,102
1,C,,00019,C2OX,0,2,0,N,6
1,C,,00019,EDGO,0,2,,N,815
1,C,,00019,EMLD,0,2,,N,229
1,C,,00019,EMLD,0,2,0,N,6
1,C,,00019,GMNI,0,2,,N,205
1,C,,00019,MCRY,0,2,,N,669
1,C,,00019,MPRL,0,2,,N,818
1,C,,00019,MXOP,0,2,,N,14
1,C,,00019,XASE,0,2,,N,397
1,C,,00019,XBOX,0,2,,N,18106
1,C,,00019,XBOX,0,8,,N,731
1,C,,00019,XBOX,1,2,,N,13717
1,C,,00019,XBOX,1,8,,N,731
1,C,,00019,XBXO,0,2,,N,72
1,C,,00019,XCBO,0,2,,N,2980
1,C,,00019,XCBO,0,2,0,N,22
1,C,,00019,XISX,0,2,,N,265
1,C,,00019,XISX,0,2,0,N,51
1,C,,00019,XMIO,0,2,,N,420
1,C,,00019,XMIO,0,2,0,N,8
1,C,,00019,XNDQ,0,2,,N,417
1,C,,00019,XPHO,0,2,,N,14964
1,C,,00019,XPHO,1,2,,N,7284
1,C,,00019,XPSE,0,2,,N,114
1,C,,00045,C2OX,0,2,,N,3907
1,C,,00045,C2OX,0,2,0,N,21
1,C,,00045,XASE,0,2,,N,28096
1,C,,00045,XASE,0,2,0,N,2077
1,C,,00045,XASE,1,2,,N,11349
1,C,,00045,XBOX,0,2,,N,3425
1,C,,00045,XBOX,0,2,0,N,1119
1,C,,00045,XBOX,1,2,,N,1000
1,C,,00045,XCBO,0,2,,N,2795
1,C,,00045,XCBO,0,2,0,N,612
1,C,,00045,XISX,0,2,,N,999
1,C,,00045,XISX,0,2,0,N,287
1,C,,00045,XMIO,0,2,,N,625
1,C,,00045,XPSE,0,2,,N,3895
1,C,,00045,XPSE,0,2,0,N,224
1,C,,00045,XPSE,1,2,,N,1950
1,C,,00050,EMLD,0,2,,N,4842
1,C,,00050,EMLD,0,2,0,N,201
1,C,,00050,GMNI,0,2,,N,37861
1,C,,00050,GMNI,0,2,0,N,4247
1,C,,00050,MCRY,0,2,,N,10034
1,C,,00050,MCRY,0,2,0,N,433
1,C,,00050,MPRL,0,2,,N,25820
1,C,,00050,MPRL,0,2,0,N,492
1,C,,00050,MXOP,0,2,,N,10521
1,C,,00050,XASE,0,2,,N,103381
1,C,,00050,XASE,0,2,0,N,2022
1,C,,00050,XASE,1,2,,N,40608
1,C,,00050,XASE,1,2,0,N,2000
1,C,,00050,XBOX,0,2,,N,17499
1,C,,00050,XBOX,0,2,0,N,13
1,C,,00050,XBXO,0,2,,N,4795
1,C,,00050,XBXO,0,2,0,N,112
1,C,,00050,XBXO,0,8,,N,73
1,C,,00050,XCBO,0,2,,N,32156
